gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,geneid,regulation
ENSMUSG00000020182,116.003474286117,-0.592196782704735,0.201572504592834,-2.9378847273885,0.0033045986900836,0.158508080350487,Ddc,down
ENSMUSG00000004610,351.697479051851,-0.430037605730866,0.147558684782411,-2.91434967968844,0.00356430416501655,0.167165865339276,Etfb,down
ENSMUSG00000026675,35.5278292057277,-1.00640292639219,0.347859420402064,-2.89313115404196,0.00381421989491619,0.176921122818036,Hsd17b7,down
ENSMUSG00000045667,57.3492469906942,-0.807154574470384,0.280116299112922,-2.88149806714746,0.00395789662136357,0.182582312992084,Smtnl2,down
ENSMUSG00000031972,115.273297575587,-0.76200743410092,0.265311314437318,-2.87212566006472,0.00407720806688358,0.185067800886347,Acta1,down
ENSMUSG00000036585,54.9342924724927,-0.785941586912092,0.273647035539203,-2.8720997666335,0.00407754216593941,0.185067800886347,Fgf1,down
ENSMUSG00000022463,59.495254326302,-0.769351464038761,0.269210422818683,-2.85780712345201,0.00426579597442359,0.190538886857587,Srebf2,down
ENSMUSG00000022673,25.8231686565974,-1.10663110173119,0.389034836458085,-2.84455528920331,0.00444734667049336,0.196568065928298,Mcm4,down
ENSMUSG00000038239,142.265647421325,-0.546205840324698,0.192914850417377,-2.83133122796386,0.00463546898223207,0.201714583237129,Hrc,down
ENSMUSG00000026355,49.791393485825,-0.828812790619373,0.293489373825697,-2.82399590763924,0.00474289904589278,0.205331044848343,Mcm6,down
ENSMUSG00000003814,313.915565972025,-0.490758156597046,0.17750311098133,-2.76478622759837,0.0056960110554338,0.237140848747572,Calr,down
ENSMUSG00000025980,347.008695370848,-0.425497648111809,0.153919266604701,-2.76442096884844,0.00570239188530645,0.237140848747572,Hspd1,down
ENSMUSG00000039629,133.843824238388,-0.583052756105553,0.21077943456339,-2.76617478034938,0.00567181268557017,0.237140848747572,Strip2,down
ENSMUSG00000005469,273.671249346487,-0.431047472576877,0.15707959508837,-2.74413409542071,0.00606707490822691,0.248632263957532,Prkaca,down
ENSMUSG00000032314,355.719316685434,-0.391961754156296,0.14319841919619,-2.73719330392387,0.00619658697484423,0.251498015584784,Etfa,down
ENSMUSG00000005124,49.9302759006795,-0.794986291395712,0.291447621545753,-2.72771583167959,0.00637745213537449,0.255158535198253,Wisp1,down
ENSMUSG00000006219,76.1885177278153,-0.641198809518574,0.235028953139103,-2.72816944871927,0.00636868836258807,0.255158535198253,Fblim1,down
ENSMUSG00000049287,18.1181525643712,-1.25068857964667,0.458252067825946,-2.72925899839412,0.00634768278384688,0.255158535198253,Iba57,down
ENSMUSG00000079523,215.995327047733,-0.536835039496087,0.197181791519856,-2.72253860439253,0.00647824641117288,0.257968661335479,Tmsb10,down
ENSMUSG00000001228,22.3969719589734,-1.13861215593078,0.418979200280202,-2.71758635075276,0.00657599935142985,0.260631861618642,Uhrf1,down
ENSMUSG00000039899,85.1770390183406,-0.636292041878776,0.235468402116806,-2.70223960479902,0.00688741093766165,0.270434991329022,Fgl2,down
ENSMUSG00000039234,66.1996361498007,-0.67600624593312,0.25148196729199,-2.68809033590955,0.00718619527180262,0.277013061573323,Sec24d,down
ENSMUSG00000013584,31.813919598193,-0.964022993657465,0.360425114311806,-2.67468318765235,0.00747998985272504,0.285728843152511,Aldh1a2,down
ENSMUSG00000035606,14.8387740978043,-1.33053780629483,0.49953210108515,-2.66356817390606,0.0077316743443102,0.291565492872087,Ky,down
ENSMUSG00000026817,349.587803301557,-0.392645715352258,0.149570725294628,-2.62515084137497,0.00866105881982091,0.312464352807385,Ak1,down
ENSMUSG00000045287,24.5393001467201,-1.04034015381381,0.396203045378426,-2.62577525828998,0.00864518773469116,0.312464352807385,Rtn4rl1,down
ENSMUSG00000037010,20.2589514391025,-1.20652366659135,0.46129698058297,-2.61550306500293,0.00890961215897522,0.31785927742626,Apln,down
ENSMUSG00000032609,61.4933292329456,-0.671576641540863,0.257070165628987,-2.61242544383819,0.0089902298902286,0.318888742576932,Klhdc8b,down
ENSMUSG00000023175,602.394401549589,-0.351998169105272,0.134874569428146,-2.60981866780155,0.00905902279430667,0.319984395102665,Bsg,down
ENSMUSG00000030357,176.930941388473,-0.499736107045987,0.191821502092756,-2.6052142309069,0.00918168305348961,0.321625594761657,Fkbp4,down
ENSMUSG00000004099,49.0774305367557,-0.75626725757767,0.290586136679795,-2.60255794105905,0.00925311781497641,0.322788514851367,Dnmt1,down
ENSMUSG00000027342,79.4703748615681,-0.676819428932932,0.260516636701412,-2.59798927816138,0.00937714218690683,0.324433747302735,Pcna,down
ENSMUSG00000024007,33.9541118892676,-0.874066758320125,0.337417873318127,-2.59045778969755,0.00958483752606708,0.327591896336268,Ppil1,down
ENSMUSG00000024164,112.136636802117,-0.602613315067145,0.234804243831286,-2.5664498444932,0.0102745483076875,0.340147987503915,C3,down
ENSMUSG00000028127,72.909999397461,-0.616664429665631,0.240165989607404,-2.56765927046408,0.0102387741579115,0.340147987503915,Abcd3,down
ENSMUSG00000032193,15.4071353979378,-1.23616826131975,0.48512969709005,-2.54811912924451,0.0108305479169135,0.354385602769704,Ldlr,down
ENSMUSG00000044938,66.9145206401454,-0.646923319380086,0.253809182133393,-2.54885703481005,0.0108076595479421,0.354385602769704,Klhl31,down
ENSMUSG00000026064,144.666313623444,-0.504289577163679,0.199107819716965,-2.5327462170021,0.0113172857074461,0.366055654951189,Ptp4a1,down
ENSMUSG00000022965,124.563190287798,-0.496140697951265,0.197053543037896,-2.51779638316805,0.0118091567696315,0.37906046178414,Ifngr2,down
ENSMUSG00000026308,87.0364376339712,-0.566199170221629,0.226998093813766,-2.49429041763739,0.012620923451431,0.400548254800679,Klhl30,down
ENSMUSG00000005410,23.1092942219383,-1.01719094724009,0.408498745342474,-2.49007116628302,0.0127717518790402,0.401577829549344,Mcm5,down
ENSMUSG00000030433,16.2646736830602,-1.29131223240046,0.521493506844936,-2.47618084492168,0.0132796294254967,0.415209746703864,Sbk2,down
ENSMUSG00000034687,30.5268855245808,-0.987445195074323,0.400789155374253,-2.4637522793057,0.0137491099649271,0.42830253256057,Fras1,down
ENSMUSG00000026185,443.108151322861,-0.461828581396234,0.188277628275002,-2.45291267808875,0.0141704733194723,0.439805646187445,Igfbp5,down
ENSMUSG00000028937,58.7857686151615,-0.637197983187174,0.261440236777813,-2.43726058024,0.0147990106284032,0.452656694655724,Acot7,down
ENSMUSG00000020935,45.2277390230675,-0.716586186235412,0.295175433617442,-2.427662009177,0.0151964979610319,0.4549249495994,Dcakd,down
ENSMUSG00000022210,37.0923097155326,-0.779946898480004,0.321166613615982,-2.42848062474072,0.0151622352301433,0.4549249495994,Dhrs4,down
ENSMUSG00000025151,312.443171043965,-0.398569077681675,0.164052688850737,-2.42951871422426,0.0151188843746388,0.4549249495994,Maged1,down
ENSMUSG00000034353,47.5099290622018,-0.715870896134367,0.295667879691764,-2.42119941090885,0.0154693887641427,0.459833027982015,Ramp1,down
ENSMUSG00000021796,118.710922771407,-0.476945011584786,0.19939851503452,-2.39191857322617,0.0167605603484351,0.491293925213504,Bmpr1a,down
ENSMUSG00000032898,53.3609805470779,-0.653902806510596,0.274151206187688,-2.38519033202036,0.0170702870769571,0.498641396206478,Fbxo21,down
ENSMUSG00000038393,891.763547855352,-0.411005069187202,0.172832053615996,-2.37806043837439,0.0174039730675161,0.501410951365645,Txnip,down
ENSMUSG00000090066,103.30415705997,-0.507922524870974,0.213478157733322,-2.379271632583,0.0173468878623567,0.501410951365645,1110002E22Rik,down
ENSMUSG00000093930,84.1850824791952,-0.538609744697496,0.226449322065164,-2.37850014204283,0.0173832302273545,0.501410951365645,Hmgcs1,down
ENSMUSG00000032249,174.5075693165,-0.421360036092809,0.17815369011946,-2.3651490789232,0.0180228144447745,0.502714677031077,Anp32a,down
ENSMUSG00000056900,110.012426355311,-0.490282657644988,0.207197025545339,-2.36626301152042,0.0179686741758015,0.502714677031077,Usp13,down
ENSMUSG00000039316,43.5169310367741,-0.703158737346862,0.299501764021023,-2.34776158880154,0.0188866059235276,0.518793626767816,Rftn1,down
ENSMUSG00000083327,56.4104181918388,-8.52959578862902,3.63587147368476,-2.3459563547181,0.0189783296688315,0.518793626767816,Vcp-rs,down
ENSMUSG00000045294,24.5403111683498,-0.904240766159133,0.386093182981944,-2.34202727739283,0.0191793131298913,0.522296004653361,Insig1,down
ENSMUSG00000031790,172.79310580986,-0.433295286986627,0.185940589019548,-2.33028888028894,0.0197908880742944,0.531424086817722,Mmp15,down
ENSMUSG00000036565,76.3282040959631,-0.578496567102411,0.249257438507727,-2.32087985243609,0.0202933292165143,0.542140143182954,Ttyh3,down
ENSMUSG00000059743,26.8230244335672,-0.859064460746509,0.370953939785255,-2.31582514326124,0.020567817822033,0.547739804585496,Fdps,down
ENSMUSG00000010175,77.7676804125372,-0.54567876238958,0.236839138365346,-2.30400585881132,0.0212223147061236,0.554671147830017,Prox1,down
ENSMUSG00000024507,101.024356032779,-0.486184313523555,0.211952118148721,-2.29384031530373,0.0217996727557276,0.56400179687959,Hsd17b4,down
ENSMUSG00000000184,123.287307792209,-0.457577189244168,0.200521490941544,-2.2819359017112,0.0224931248453174,0.574623066757887,Ccnd2,down
ENSMUSG00000030172,37.9567129386847,-0.739005113268143,0.324946224760343,-2.27423818760529,0.022951669369022,0.581855834274124,Erc1,down
ENSMUSG00000026478,387.536589995013,-0.332901406310861,0.146544034686435,-2.27168173049951,0.0231057404298683,0.584007966194455,Lamc1,down
ENSMUSG00000024413,45.08780347393,-0.675887368297266,0.298940115339774,-2.26094569987389,0.0237626197349839,0.593503064505131,Npc1,down
ENSMUSG00000034681,92.729936614916,-0.529684528543522,0.234071704352622,-2.26291567367566,0.0236408880133801,0.593503064505131,Rnps1,down
