"","V1","V2"
"492","Hadh","Bcat2"
"493","Klf15","Bcat2"
"494","Klf15","Bcat2"
"495","Ckb","Myom2"
"496","Ckb","Myom2"
"497","Amotl1","Myom2"
"498","Amotl1","Myom2"
"499","Ckmt2","Myom2"
"500","Ckmt2","Myom2"
"501","Srl","Myom2"
"502","Srl","Myom2"
"503","Ankrd1","Myom2"
"504","Ankrd1","Myom2"
"505","Klhl30","Myom2"
"506","Klhl30","Myom2"
"507","Pdlim5","Myom2"
"508","Pdlim5","Myom2"
"509","Lipe","Acsl1"
"510","Lipe","Acsl1"
"511","Lpl","Acsl1"
"512","Lpl","Acsl1"
"513","Acadsb","Acsl1"
"514","Acadsb","Acsl1"
"515","Pdk4","Acsl1"
"516","Pdk4","Acsl1"
"517","Plin3","Acsl1"
"518","Plin3","Acsl1"
"519","Plin5","Acsl1"
"520","Plin5","Acsl1"
"521","Acot2","Acsl1"
"522","Acot2","Acsl1"
"523","Srebf2","Acsl1"
"524","Srebf2","Acsl1"
"525","Eci1","Acsl1"
"526","Eci1","Acsl1"
"527","Hsd17b4","Acsl1"
"528","Hsd17b4","Acsl1"
"529","Cpt1a","Acsl1"
"530","Cpt1a","Acsl1"
"531","Echs1","Acsl1"
"532","Echs1","Acsl1"
"533","Acadl","Acsl1"
"534","Acadl","Acsl1"
"535","Crat","Acsl1"
"536","Crat","Acsl1"
"537","Cat","Acsl1"
"538","Cat","Acsl1"
"539","Fabp4","Acsl1"
"540","Fabp4","Acsl1"
"541","Hadh","Acsl1"
"542","Hadh","Acsl1"
"543","Abcd3","Acsl1"
"544","Abcd3","Acsl1"
"545","Decr1","Acsl1"
"546","Decr1","Acsl1"
"547","Hsdl2","Acsl1"
"548","Hsdl2","Acsl1"
"549","Cpt2","Acsl1"
"550","Cpt2","Acsl1"
"551","Dgat2","Acsl1"
"552","Dgat2","Acsl1"
"553","Srl","Pdlim3"
"554","Srl","Pdlim3"
"555","Ankrd1","Pdlim3"
"556","Ankrd1","Pdlim3"
"557","Pdlim5","Pdlim3"
"558","Pdlim5","Pdlim3"
"559","Acsl1","Pdlim3"
"560","Acsl1","Pdlim3"
"561","Ccnd2","Rbl2"
"562","Ccnd2","Rbl2"
