gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,geneid,regulation
ENSMUSG00000020893,45.5293931656703,1.24261246407559,0.354415585655684,3.50608865514957,0.000454743726129114,0.0345851039277656,Per1,up
ENSMUSG00000035828,62.664372521844,1.16423562797608,0.33322766204784,3.49381447152768,0.000476171806605798,0.0358914499229121,Pim3,up
ENSMUSG00000023905,65.0688540204649,0.905596873100145,0.259621408239035,3.48814406039412,0.000486385940341535,0.0363369036138339,Tnfrsf12a,up
ENSMUSG00000021622,287.983807671435,0.530148077446341,0.152870757226902,3.46794957428945,0.000524445688569221,0.0388365833587839,Ckmt2,up
ENSMUSG00000043004,81.2016031187673,0.890590797610225,0.258013785290066,3.45171788634858,0.000557029807166574,0.0408908315834801,Gng2,up
ENSMUSG00000032411,70.9350695724454,0.91855180382207,0.269788238302349,3.40471404388155,0.00066233370894215,0.0473849251770307,Tfdp2,up
ENSMUSG00000023150,975.10200282026,1.34399039197319,0.395310168793385,3.39983764160553,0.000674258764061431,0.0477897653138244,Ivns1abp,up
ENSMUSG00000041616,3850.44770543191,0.544822039694495,0.160345790548584,3.39779446551431,0.000679314361248392,0.0477897653138244,Nppa,up
ENSMUSG00000023087,123.30960377361,0.734708301350142,0.217107071238311,3.3840827807201,0.000714164675965465,0.0498262660702517,Ccrn4l,up
ENSMUSG00000092341,325.997090164718,0.655160500012766,0.194506517535265,3.3683215776766,0.000756273292821801,0.0514875736935617,Malat1,up
ENSMUSG00000038816,69.5132762469288,0.921667045817961,0.275853510903981,3.34114669339399,0.000834331284187874,0.0563473976089123,Ctnnal1,up
ENSMUSG00000039361,220.468733863873,0.569845944642261,0.172316024398168,3.30698173099401,0.000943070422521663,0.0621984414603741,Picalm,up
ENSMUSG00000020407,46.2445531858721,1.02020943615726,0.308717115439745,3.30467403695465,0.000950869191553147,0.062226648954199,Upp1,up
ENSMUSG00000019278,38.8166982455997,1.13367675444383,0.345013300847415,3.28589289647477,0.001016596563196,0.0655887145973078,Dpep1,up
ENSMUSG00000049537,39.2527995541335,1.13404313746001,0.347659000967591,3.26194096601494,0.00110652184361365,0.0699948930101744,Tecrl,up
ENSMUSG00000030161,86.0558517370749,0.754994206381213,0.232044717218968,3.25365824066042,0.0011392925278018,0.0712437594052058,Gabarapl1,up
ENSMUSG00000062515,806.378162964509,0.582879363740253,0.180333020364494,3.23223868020466,0.00122824418354493,0.0756849445071995,Fabp4,up
ENSMUSG00000055866,18.5545938613201,1.67115692110165,0.517384452375805,3.2300099344458,0.00123785916761973,0.0757246890800418,Per2,up
ENSMUSG00000032578,115.313153750191,0.717870350642096,0.223799850195537,3.20764446452883,0.00133826828288959,0.0812781355694529,Cish,up
ENSMUSG00000020108,61.8080007221416,1.19411734431055,0.372751209308589,3.20352372974323,0.00135756851805707,0.0818613816388414,Ddit4,up
ENSMUSG00000091957,20.1409044790546,3.5508198985108,1.11528986843182,3.18376414869036,0.0014537340754715,0.0858211403155974,Rps2-ps10,up
ENSMUSG00000030317,23.839053743424,1.44092258475499,0.453870428830162,3.17474436144459,0.00149968558672466,0.0873127291250314,Timp4,up
ENSMUSG00000056025,54.2299408946037,1.00756208908669,0.31726926678293,3.17573176659449,0.00149459078333965,0.0873127291250314,Clca1,up
ENSMUSG00000025068,79.4920345411255,0.764313941766569,0.241069779743203,3.17050914710565,0.00152172041662809,0.0879887928573585,Gsto1,up
ENSMUSG00000023067,35.9622092681217,1.17387065137897,0.374508567522731,3.13442936471063,0.00172188703315172,0.09755819016018,Cdkn1a,up
ENSMUSG00000041361,400.749784944434,0.512154446120438,0.163768780572802,3.12730206776355,0.00176418565661911,0.0986308298885998,Myzap,up
ENSMUSG00000056492,145.42861507743,0.648780952860887,0.207451025329981,3.12739332972159,0.0017636380560428,0.0986308298885998,Gpr116,up
ENSMUSG00000028150,56.5298989921302,0.951225221749277,0.306655034111757,3.10193903877871,0.00192257545723551,0.106778829013041,Rorc,up
ENSMUSG00000100750,121.576783270622,0.77373406649079,0.249646167270477,3.09932283339441,0.00193963543473827,0.107022237516735,NA,up
ENSMUSG00000017707,523.617672178392,0.44918533590207,0.145897516342513,3.07877301247232,0.00207854983468639,0.111765080919889,Serinc3,up
ENSMUSG00000024049,1105.35651653901,0.433846446403734,0.141589356870239,3.06411764269357,0.00218313042836156,0.115911868403952,Myom1,up
ENSMUSG00000005125,51.6681604045067,0.904210832412979,0.29592016674921,3.05559043963127,0.002246178488799,0.117050856805192,Ndrg1,up
ENSMUSG00000095041,30.5401279982085,1.21381537930407,0.398751603488119,3.04403886701923,0.00233424981010057,0.120894091391834,NA,up
ENSMUSG00000050373,47.5259324956264,0.904364922149363,0.299081280656608,3.02380984916176,0.00249613273851074,0.125430670110164,Snx21,up
ENSMUSG00000036944,58.6626340654643,0.84391142726336,0.280143923057242,3.01242096581521,0.00259172914004937,0.129463771599389,Tmem71,up
ENSMUSG00000037519,65.7912389827334,0.779373601462791,0.262693893611162,2.96685084966769,0.00300866872053006,0.147669658946016,Ppfia1,up
ENSMUSG00000030189,386.022066174008,0.452489692119993,0.152786858890831,2.96157467602175,0.00306070262177103,0.149355211173359,Ybx3,up
ENSMUSG00000049550,134.449580561634,0.703552330623972,0.237944371517357,2.95679333004375,0.00310856397828096,0.149957126312274,Clip1,up
ENSMUSG00000020263,66.7965353167909,0.883041410747391,0.301177275241009,2.93196560079363,0.00336824052813856,0.160647946545456,Appl2,up
ENSMUSG00000002661,32.1108638933729,1.0512799303822,0.358989687434643,2.92844047386068,0.00340667056559249,0.161568050082763,Alkbh7,up
ENSMUSG00000005534,164.412364396274,0.56592690046723,0.193861977832944,2.91922586777126,0.00350901871909454,0.16549238003685,Insr,up
ENSMUSG00000030861,94.1956911487895,0.665918724921117,0.229055060889001,2.90724301107592,0.00364629812238276,0.170066567674891,Acadsb,up
ENSMUSG00000037996,19.1291531454688,1.3652383597601,0.474733074572876,2.87580207254028,0.00403002329229664,0.18489922083461,Slc24a2,up
ENSMUSG00000034295,314.417035498817,0.483424401438634,0.168696761302164,2.86564127080508,0.00416165539978009,0.187875373716275,Fhod3,up
ENSMUSG00000019970,56.0945281207685,0.939226462523775,0.328079049167365,2.86280536629037,0.00419908417015873,0.188556747683404,Sgk1,up
ENSMUSG00000101698,117.006287499947,0.720499503845374,0.252899674367835,2.84895386143293,0.00438632409766282,0.19489130543405,NA,up
ENSMUSG00000037003,90.7702876242984,0.719444066697917,0.253155064169411,2.84191062524614,0.00448440611290481,0.197173731276783,Tenc1,up
ENSMUSG00000015090,185.530745796664,0.628874941282486,0.222106394283505,2.83141304108412,0.00463428330727993,0.201714583237129,Ptgds,up
ENSMUSG00000024780,75.5012304181521,0.741963626264524,0.264235607781378,2.80796230490785,0.0049856062218331,0.214737182268954,Cdc37l1,up
ENSMUSG00000026014,114.453270468885,0.610374885199806,0.217889195723936,2.80130863383032,0.00508958172007865,0.216675065141636,Raph1,up
