"","V1","V2"
"271","Dynlt1b","Clip1"
"272","Dynlt1b","Clip1"
"273","Ckmt2","Xirp2"
"274","Ckmt2","Xirp2"
"275","Srl","Xirp2"
"276","Srl","Xirp2"
"277","Ankrd1","Xirp2"
"278","Ankrd1","Xirp2"
"279","Ankrd23","Xirp2"
"280","Ankrd23","Xirp2"
"281","Srsf5","Luc7l"
"282","Srsf5","Luc7l"
"283","Atp6v1b2","Dmxl2"
"284","Atp6v1b2","Dmxl2"
"285","Ndrg2","Sgk1"
"286","Ndrg2","Sgk1"
"287","Ndrg1","Sgk1"
"288","Ndrg1","Sgk1"
"289","Ddit4","Sgk1"
"290","Ddit4","Sgk1"
"291","Smg1","Sgk1"
"292","Smg1","Sgk1"
"293","Foxo3","Sgk1"
"294","Foxo3","Sgk1"
"295","Fkbp5","Sgk1"
"296","Fkbp5","Sgk1"
"297","Insr","Sgk1"
"298","Insr","Sgk1"
"299","Timp3","Vegfa"
"300","Timp3","Vegfa"
"301","Igfbp3","Vegfa"
"302","Igfbp3","Vegfa"
"303","Cdkn1a","Vegfa"
"304","Cdkn1a","Vegfa"
"305","Pdlim5","Vegfa"
"306","Pdlim5","Vegfa"
"307","Slc2a1","Vegfa"
"308","Slc2a1","Vegfa"
"309","Abcg2","Vegfa"
"310","Abcg2","Vegfa"
"311","Ctnnal1","Vegfa"
"312","Ctnnal1","Vegfa"
"313","Foxo3","Vegfa"
"314","Foxo3","Vegfa"
"315","Ly6c1","Vegfa"
"316","Ly6c1","Vegfa"
"317","Ccnb1","Vegfa"
"318","Ccnb1","Vegfa"
"319","Cxcl12","Vegfa"
"320","Cxcl12","Vegfa"
"321","Insr","Vegfa"
"322","Insr","Vegfa"
"323","Bnip3","Vegfa"
"324","Bnip3","Vegfa"
"325","Hif3a","Vegfa"
"326","Hif3a","Vegfa"
"327","Lpl","Ppargc1a"
"328","Lpl","Ppargc1a"
"329","Ckmt2","Ppargc1a"
"330","Ckmt2","Ppargc1a"
"331","Echs1","Ppargc1a"
"332","Echs1","Ppargc1a"
"333","Fabp4","Ppargc1a"
"334","Fabp4","Ppargc1a"
"335","Slc2a1","Ppargc1a"
"336","Slc2a1","Ppargc1a"
"337","Klf15","Ppargc1a"
"338","Klf15","Ppargc1a"
"339","Smg1","Ppargc1a"
"340","Smg1","Ppargc1a"
"341","Ogt","Ppargc1a"
"342","Ogt","Ppargc1a"
"343","Foxo3","Ppargc1a"
"344","Foxo3","Ppargc1a"
"345","Pcx","Ppargc1a"
"346","Pcx","Ppargc1a"
"347","Insr","Ppargc1a"
"348","Insr","Ppargc1a"
"349","Nppa","Ppargc1a"
"350","Nppa","Ppargc1a"
"351","Nppb","Ppargc1a"
"352","Nppb","Ppargc1a"
"353","Sqstm1","Ppargc1a"
"354","Sqstm1","Ppargc1a"
"355","Myh7","Ppargc1a"
"356","Myh7","Ppargc1a"
"357","Bnip3","Ppargc1a"
"358","Bnip3","Ppargc1a"
"359","Vegfa","Ppargc1a"
"360","Vegfa","Ppargc1a"
"361","Pdlim5","Slmap"
"362","Pdlim5","Slmap"
"363","Mtmr14","Slmap"
"364","Mtmr14","Slmap"
"365","Bcat2","Mpc1"
"366","Bcat2","Mpc1"
"367","Pcx","Mpc1"
"368","Pcx","Mpc1"
"369","Srsf5","Mpc1"
"370","Srsf5","Mpc1"
"371","Ntn1","Raph1"
"372","Ntn1","Raph1"
